text,type,typeId,Description,Name,stereotypes
Perfil,Artifact,creately.umldeployment.artifact,,,[object Object]
Panel Meseros,Node,creately.umldeployment.node,,,[object Object]
Pagar pedido,Artifact,creately.umldeployment.artifact,,,[object Object]
Cocina,Node,creately.umldeployment.node,,,[object Object]
Login sistema,Node,creately.umldeployment.node,,,[object Object]
Menu,Artifact,creately.umldeployment.artifact,,,[object Object]
Restaurantes,Node,creately.umldeployment.node,,,[object Object]
Computers,Node,creately.umldeployment.node,,,[object Object]
Logout,Node,creately.umldeployment.node,,,[object Object]
Finalizar pedido,Artifact,creately.umldeployment.artifact,,,[object Object]
Ordenes,Artifact,creately.umldeployment.artifact,,,[object Object]
Meseros,Artifact,creately.umldeployment.artifact,,,[object Object]
Ofertas,Artifact,creately.umldeployment.artifact,,,[object Object]
Perfil,Artifact,creately.umldeployment.artifact,,,[object Object]
Mesas,Artifact,creately.umldeployment.artifact,,,[object Object]
Internet,Node,creately.umldeployment.node,,,[object Object]
Postularse,Artifact,creately.umldeployment.artifact,,,[object Object]
Caja,Node,creately.umldeployment.node,,,[object Object]
Tablests,Node,creately.umldeployment.node,,,[object Object]
Login sistema,Node,creately.umldeployment.node,,,[object Object]
Server,Node,creately.umldeployment.node,,,[object Object]
Cloudinary,Artifact,creately.umldeployment.artifact,,,[object Object]
Heroku,Artifact,creately.umldeployment.artifact,,,[object Object]